,DATE,DOY,SEASON,ID,SPECIES,SITE,FIELD,REP,IRRIGATION,PLANTED,DSP,LAT,LONG,CLEAR.SKY,LAI,TEMPERATURE,REL_HUM,DEW_PT_C,SOIL_MOIS,HEIGHT,AMB_HUM,AMB_TEMP,LEAF_ANGLE,PAR,CHL,PHI2,PHI_NO,PHI_NPQ,LEF,SLA,LMA,Thickness,LD,GL,ALB,TIME_DEC,SOIL_ALB
11,9/4/19,247,Summer,USDA2_COT_2,Cotton,USDA,USDA2,2,Irrigated,6/28/19,68,33.595162,-101.899343,0.8,1.62,34.12714286,33.19142857,15.60571429,5.7,58,64.45466667,24.20666667,14.595,129.2403333,53.97,0.667,0.291666667,0.041666667,38.78888595,11.7461512,0.085167661,2.056666667,0.041435146,372.1,18.75369294,12.04166667,21.71628386
12,9/4/19,247,Summer,USDA2_COT_3,Cotton,USDA,USDA2,3,Irrigated,6/28/19,68,33.595162,-101.899343,0.8,1.62,35.63142857,27.68285714,14.13285714,6.6,60,63.361,24.44333333,19.88,185.624,51.70333333,0.655666667,0.286333333,0.058,54.75429435,10.76798546,0.093147196,2.143333333,0.043526779,300.5666667,19.10611665,12.48645161,23.06427702
13,8/12/19,224,Summer,USDA3_COT_1,Cotton,USDA,USDA3,1,Irrigated,6/11/19,62,33.5956,-101.9023,1,1.62,28.3725,49.4425,16.7925,14.2,41,62.58166667,24.92666667,20.60033333,345.4746667,60.25666667,0.588666667,0.292333333,0.119333333,91.1126502,11.31576366,0.088509866,2.08,0.043535425,508.2,21.60025717,9.566666667,24.4241464
14,8/12/19,224,Summer,USDA3_COT_2,Cotton,USDA,USDA3,2,Irrigated,6/11/19,62,33.5956,-101.9023,1,1.62,29.93666667,45.87,17.03,8.9,38.6,64.02933333,24.71,17.27933333,363.2326667,55.68,0.629666667,0.288666667,0.081333333,102.9476336,11.51619403,0.090059345,2.266666667,0.039880569,486.4,19.2038199,10.2,19.71566875
15,8/12/19,224,Summer,USDA3_COT_3,Cotton,USDA,USDA3,3,Irrigated,6/11/19,62,33.5956,-101.9023,1,1.62,31.68,43.34666667,17.70333333,13.5,39.9,63.371,24.84,28.17333333,479.486,56.85666667,0.614333333,0.302666667,0.083,132.5085435,10.93908522,0.091445199,2.093333333,0.043956606,671.4333333,19.43753675,10.71833333,23.75092356
16,8/15/19,227,Summer,USDAP1_COT_1,Cotton,USDA,USDA3,1,Irrigated,3/18/19,150,33.5952,-101.9032,0.9,1.38,NA,NA,NA,6.5,74,51.33933333,28.95333333,22.10566667,1031.720667,57.76,0.462666667,0.223333333,0.313666667,206.0997246,12.63435983,0.080637727,2.14,0.038338558,390.3666667,22.33409612,10.075,26.47320071
17,8/15/19,227,Summer,USDAP1_COT_2,Cotton,USDA,USDA3,2,Irrigated,3/18/19,150,33.5952,-101.9032,0.9,1.38,NA,NA,NA,5.8,58,51.59633333,29.14,19.23533333,1229.860333,61.11666667,0.474666667,0.245,0.28,253.7795124,11.38331755,0.089603514,2.173333333,0.0412974,237.3,19.75665731,10.5915,24.43105678
18,8/15/19,227,Summer,USDAP1_COT_3,Cotton,USDA,USDA3,3,Irrigated,3/18/19,150,33.5952,-101.9032,0.9,1.38,NA,NA,NA,7.4,70,49.95733333,29.59666667,20.41,1731.447333,58.22333333,0.471,0.252,0.277,366.6325346,12.91670365,0.078371511,2.223333333,0.035581491,183.0666667,20.90011136,11.09166667,25.10710648
19,8/15/19,227,Summer,USDAP2_COT_1,Cotton,USDA,USDA3,1,Irrigated,4/3/19,134,33.5948,-101.9032,0.9,1.52,NA,NA,NA,8.7,56,54.99666667,27.91333333,16.12966667,904.426,51.73333333,0.276333333,0.111,0.612333333,135.5773953,9.211308166,0.108789419,2.17,0.050265392,114.8,19.22846583,11.69166667,32.00104772
20,8/15/19,227,Summer,USDAP2_COT_2,Cotton,USDA,USDA3,2,Irrigated,4/3/19,134,33.5948,-101.9032,0.9,1.52,NA,NA,NA,5.5,68,56.02933333,26.96,14.24733333,575.8523333,49.99666667,0.197333333,0.063,0.739333333,51.06394425,9.407178449,0.106457396,2.253333333,0.047481581,123.0333333,18.90906872,12.25833333,21.74005923
21,8/15/19,227,Summer,USDAP2_COT_3,Cotton,USDA,USDA3,3,Irrigated,4/3/19,134,33.5948,-101.9032,0.9,1.52,NA,NA,NA,8.6,47,53.86266667,27.81,10.77233333,622.8673333,54.02333333,0.193,0.056,0.750333333,54.4026501,9.980385969,0.101515398,2.283333333,0.044536912,73.93333333,20.34277421,12.85833333,28.53795671
22,8/16/19,228,Summer,USDAP3_COT_1,Cotton,USDA,USDA3,1,Irrigated,4/17/19,121,33.5945,-101.9032,0.9,1.92,NA,NA,NA,12.7,62,48.10566667,30.75666667,25.982,1465.535667,58.66666667,0.353,0.165666667,0.481666667,255.9003081,11.1813135,0.08972068,2.2,0.040787184,263.5666667,21.23656036,9.88,29.22819926
23,8/16/19,228,Summer,USDAP3_COT_2,Cotton,USDA,USDA3,2,Irrigated,4/17/19,121,33.5945,-101.9032,0.9,1.92,NA,NA,NA,11.6,52,43.85966667,32.24333333,16.09266667,1714.175,61.35666667,0.462,0.232333333,0.305333333,353.9951484,10.24223158,0.098499999,2.186666667,0.045431083,401.4333333,18.45827272,10.505,27.84939041
24,8/16/19,228,Summer,USDAP3_COT_3,Cotton,USDA,USDA3,3,Irrigated,4/17/19,121,33.5945,-101.9032,0.9,1.92,NA,NA,NA,8.6,46,42.797,32.98,7.514666667,1805.825,59.77666667,0.383,0.199,0.417666667,311.9215463,10.51044887,0.095823371,2.153333333,0.044851612,630.6333333,20.7904383,11.08833333,26.47592887
25,8/16/19,228,Summer,USDAP4_COT_1,Cotton,USDA,USDA3,1,Irrigated,5/1/19,107,33.5942,-101.903,0.9,1.83,NA,NA,NA,7.8,66,37.93566667,31.53666667,27.60266667,1512.334667,55.88,0.334666667,0.154666667,0.510666667,228.4903043,9.135687336,0.109769485,2.256666667,0.048765761,450.8333333,18.98495454,12.27166667,25.79236115
26,8/16/19,228,Summer,USDAP4_COT_2,Cotton,USDA,USDA3,2,Irrigated,5/1/19,107,33.5942,-101.903,0.9,1.83,NA,NA,NA,3.3,56,37.61466667,31.93333333,31.07233333,1561.439,61.46,0.383,0.190666667,0.426333333,268.2919107,9.333360952,0.107736188,2.143333333,0.050968092,301,19.03230172,12.82166667,25.10563583
27,8/16/19,228,Summer,USDAP4_COT_3,Cotton,USDA,USDA3,3,Irrigated,5/1/19,107,33.5942,-101.903,0.9,1.83,NA,NA,NA,11.6,66,36.09566667,33.81333333,29.324,1485.313333,58.17333333,0.383666667,0.186333333,0.430333333,255.8632532,9.078987706,0.110406087,2.29,0.048402776,309.4333333,21.38332189,13.355,27.84750299
28,8/20/19,232,Summer,USDAP5_COT_1,Cotton,USDA,USDA3,1,Irrigated,6/11/19,70,33.594,-101.9027,0.9,0.94,NA,NA,NA,4.9,56,40.96766667,30.02333333,24.28933333,608.3666667,56.78666667,0.505333333,0.192666667,0.302,94.47683355,8.936179427,0.113388306,2.053333333,0.055232324,340.4666667,21.11553844,9.103448276,25.09873629
29,8/20/19,232,Summer,USDAP5_COT_2,Cotton,USDA,USDA3,2,Irrigated,6/11/19,70,33.594,-101.9027,0.9,0.94,NA,NA,NA,7.4,60,43.36066667,29.40666667,15.50466667,424.8206667,57.27666667,0.531,0.233,0.236,96.69945495,8.844904235,0.113108592,2.236666667,0.051282274,322.2,19.42577719,9.628333333,21.71628386
30,8/20/19,232,Summer,USDAP5_COT_3,Cotton,USDA,USDA3,3,Irrigated,6/11/19,70,33.594,-101.9027,0.9,0.94,NA,NA,NA,5.3,56,40.727,30.82666667,25.19066667,1068.035333,54.74333333,0.404,0.200333333,0.395666667,190.9279176,9.434871544,0.106427791,2.416666667,0.044135962,336.2666667,18.95628197,10.16166667,23.74139019
31,8/20/19,232,Summer,USDAP6_COT_1,Cotton,USDA,USDA3,1,Irrigated,6/28/19,53,33.5938,-101.902,0.9,1.56,NA,NA,NA,4.1,40,49.38366667,26.75333333,38.87333333,1185.043333,55.63333333,0.457666667,0.249666667,0.292666667,237.5105655,10.28607242,0.097318746,2.076666667,0.047822722,522.3666667,20.02297137,10.77833333,26.46474036
32,8/20/19,232,Summer,USDAP6_COT_2,Cotton,USDA,USDA3,2,Irrigated,6/28/19,53,33.5938,-101.902,0.9,1.56,NA,NA,NA,6.3,50,49.87533333,26.61666667,34.996,840.8626667,56.71,0.536333333,0.271666667,0.192,201.0303567,10.42842063,0.096050455,2.026666667,0.047396635,409.1,19.48420232,11.31166667,25.78487898
33,8/20/19,232,Summer,USDAP6_COT_3,Cotton,USDA,USDA3,3,Irrigated,6/28/19,53,33.5938,-101.902,0.9,1.56,NA,NA,NA,5.8,52,44.63,28.01666667,31.19766667,222.8226667,55.40666667,0.640666667,0.262666667,0.097,64.2298023,10.15551143,0.098598131,2.256666667,0.043958129,528.3333333,18.90413382,11.91166667,25.78068445
34,8/9/19,221,Summer,USDA3B_COT_1,Cotton,USDA,USDA3B,1,Dry,6/11/19,59,33.593882,-101.902941,0.9,2.02,34.22,40.85,19.04,5.6,61,33.827,34.31333333,14.931,1460.528,51.93333333,0.362,0.222333333,0.415333333,238.0488837,9.005033596,0.111165736,2.066666667,0.053820257,769.5,18.84028499,10.43333333,22.40904303
35,8/9/19,221,Summer,USDA3B_COT_2,Cotton,USDA,USDA3B,2,Dry,6/11/19,59,33.593882,-101.902941,0.9,2.02,34.99,39.885,19.34,5.2,66,34.892,33.55,35.60733333,1639.725333,56.97,0.344333333,0.170333333,0.485333333,252.0543267,9.872000139,0.101940978,2.256666667,0.045327556,698.7666667,17.38856146,10.85,24.43939383
36,8/9/19,221,Summer,USDA3B_COT_3,Cotton,USDA,USDA3B,3,Dry,6/11/19,59,33.593882,-101.902941,0.9,2.02,35,38.84,18.92,4.2,66,34.348,33.76,41.559,1665.855,59.53,0.370666667,0.188666667,0.441,274.6071018,9.106767125,0.110217852,2.143333333,0.051451205,600.9666667,17.67148104,11.2,26.47530514
37,8/9/19,221,Summer,USDA4_SOR_1,Sorghum,USDA,USDA4,1,Irrigated,,NA,33.593652,-101.902917,0.9,4.98,37.91333333,36.19666667,20.34333333,4.2,111.5,37.20233333,34.90333333,6.714,1287.266333,64.19,0.383,0.131666667,0.485333333,220.9040471,13.39728566,0.074754346,1.923333333,0.039303358,391.5,17.50297594,11.65,28.54747583
38,8/9/19,221,Summer,USDA4_SOR_2,Sorghum,USDA,USDA4,2,Irrigated,,NA,33.593652,-101.902917,0.9,4.98,38.72,32.82,19.47666667,2.7,99.1,36.286,36.23333333,17.37633333,836.4213333,59.11666667,0.508333333,0.155,0.336333333,156.6276111,13.28903135,0.075349085,1.453333333,0.171909181,276.6,17.58440433,12.16333333,23.07412169
39,8/9/19,221,Summer,USDA4_SOR_3,Sorghum,USDA,USDA4,3,Irrigated,,NA,33.593652,-101.902917,0.9,4.98,38.505,32.5,19.135,6.3,118.1,33.58533333,36.11,14.05133333,448.5426667,55.38666667,0.560333333,0.175666667,0.264,112.6179599,13.82824147,0.072785888,2.04,0.037063724,480.6,16.81595091,12.63666667,25.805247
40,9/18/19,261,Summer,USDA5_COT_1,Cotton,USDA,USDA5,1,Irrigated,6/11/19,99,33.593989,-101.900719,1,5.53,29.144,46.046,16.36466667,20.5,70,59.07666667,25.75,31.69666667,1434.014333,44.01666667,0.430333333,0.206666667,0.363333333,272.5477595,12.15734021,0.082901484,2.28,0.036599799,143.2666667,20.74112262,9.588333333,17.71632609
41,9/18/19,261,Summer,USDA5_COT_2,Cotton,USDA,USDA5,2,Irrigated,6/11/19,99,33.593989,-101.900719,1,5.53,30.601,43.189,16.68,15.9,65,47.30466667,29.75,22.387,1386.922667,45.09666667,0.45,0.224666667,0.325666667,278.7473925,11.55205458,0.086573752,1.876666667,0.046228788,196.9333333,22.52583812,10.12166667,15.71829656
42,9/18/19,261,Summer,USDA5_COT_3,Cotton,USDA,USDA5,3,Irrigated,6/11/19,99,33.593989,-101.900719,1,5.53,30.464,44.88533333,17.164,23.2,70,42.62366667,31.59666667,17.07033333,1563.755,49.45,0.409333333,0.194666667,0.396,288.2746776,12.20012552,0.082136276,1.77,0.046451073,157.7,22.38028579,10.68833333,21.06051249
43,9/18/19,261,Summer,USDA5_SOR_1,Sorghum,USDA,USDA5,1,Irrigated,,NA,33.593493,-101.900703,1,3.23,32.05766667,39.785,16.691,20.8,119,38.18033333,32.82333333,31.53233333,973.836,63.87333333,0.455666667,0.176333333,0.368,177.5147562,15.34262112,0.065525122,1.723333333,0.04132785,558.4666667,18.91439692,11.505,23.75553546
44,9/18/19,261,Summer,USDA5_SOR_2,Sorghum,USDA,USDA5,2,Irrigated,,NA,33.593493,-101.900703,1,3.23,34.15766667,35.35166667,16.67633333,27.7,114,35.94866667,34.50333333,15.64433333,1017.078333,45.69333333,0.417,0.149666667,0.433666667,167.7389337,16.72931887,0.059885388,2.17,0.027636747,606.8,19.25432852,12.07166667,23.76175828
45,9/18/19,261,Summer,USDA5_SOR_3,Sorghum,USDA,USDA5,3,Irrigated,,NA,33.593493,-101.900703,1,3.23,34.27866667,34.99433333,16.62666667,26.6,115,34.01633333,35.67333333,6.044666667,1672.393333,53.53,0.348666667,0.131333333,0.52,262.8333243,16.12783636,0.062172657,2.286666667,0.027324049,677.6666667,19.11160209,12.73833333,18.37947088
46,10/9/19,282,Summer,BH1_SOR_1,Sorghum,BH,BH1,1,Irrigated,5/25/20,229,33.46743,-101.79693,1,5.14,22.19233333,68.99033333,16.24933333,34.5,97,55.09433333,25.49333333,33.08066667,500.0976667,60.11,0.489,0.174666667,0.337,96.2242638,14.47985018,0.070406654,1.896666667,0.037239526,201.6333333,13.76857285,10.035,11.71213216
47,10/9/19,282,Summer,BH1_SOR_2,Sorghum,BH,BH1,2,Irrigated,5/25/20,229,33.46743,-101.79693,1,5.14,23.893,64.60566667,16.835,32.3,107,49.251,28.03,37.341,919.71,55.32666667,0.463,0.184333333,0.352666667,151.8861794,13.21370357,0.075717243,1.77,0.042823706,263.7666667,14.87652453,10.56833333,6.371605748
48,10/9/19,282,Summer,BH1_SOR_3,Sorghum,BH,BH1,3,Irrigated,5/25/20,229,33.46743,-101.79693,1,5.14,25.52666667,60.63533333,17.37433333,28.8,100,49.16033333,28.62666667,27.207,1061.037333,54.49666667,0.430666667,0.169666667,0.399666667,195.698535,12.66349283,0.078973117,1.853333333,0.042862125,351.4333333,13.43658939,11.10166667,7.043580417
49,10/9/19,282,Summer,BH2_COT_1,Cotton,BH,BH2,1,Irrigated,5/25/20,229,33.47151,-101.81698,1,4.17,27.328,55.60133333,17.68366667,19.3,99,43.686,30.26666667,20.45966667,1331.431,56.8,0.412,0.213666667,0.374666667,236.9279196,12.7268031,0.078832387,2.226666667,0.035694355,217.0666667,18.32860018,12.33166667,9.060587304
50,10/9/19,282,Summer,BH2_COT_2,Cotton,BH,BH2,2,Irrigated,5/25/20,229,33.47151,-101.81698,1,4.17,28.40033333,53.00166667,17.91666667,20.4,102,41.68833333,31.34,88.33433333,787.9343333,59.7,0.427,0.240666667,0.332333333,143.0782632,12.74821497,0.078480751,1.876666667,0.042671259,58.33333333,17.64622339,12.84833333,15.70095227
51,10/9/19,282,Summer,BH2_COT_3,Cotton,BH,BH2,3,Irrigated,5/25/20,229,33.47151,-101.81698,1,4.17,28.758,51.26133333,17.717,21.9,100,38.04966667,32.15333333,32.45266667,827.51,58.57,0.46,0.221666667,0.318333333,157.9158032,11.65631183,0.085848563,1.913333333,0.047201546,181.2666667,17.19371517,13.415,14.37421006
52,10/11/19,284,Summer,RH1_SOR_1,Sorghum,RH,RH1,1,Irrigated,,NA,33.93172,-101.57149,1,2.18,6.550666667,40.35166667,-5.961666667,18.2,82,29.77966667,10.62333333,30.143,907.986,69.25666667,0.301333333,0.119666667,0.579,84.66261135,16.0480633,0.062399569,2.27,0.028184156,144.0333333,18.30039801,10.785,24.41429344
53,10/11/19,284,Summer,RH1_SOR_2,Sorghum,RH,RH1,2,Irrigated,,NA,33.93172,-101.57149,1,2.18,7.800333333,38.79166667,-5.356,17.8,97,28.525,12.04666667,25.69933333,1709.494,68.69333333,0.201333333,0.083666667,0.715,154.2631566,15.17498662,0.066519317,2.143333333,0.031076121,234.5333333,17.39935218,11.35166667,25.09597736
54,10/11/19,284,Summer,RH1_SOR_3,Sorghum,RH,RH1,3,Irrigated,,NA,33.93172,-101.57149,1,2.18,9.734,35.73066667,-4.714666667,19.2,88,29.34366667,10.71333333,23.60233333,836.832,55.00333333,0.211666667,0.134666667,0.653666667,80.10269145,19.21508335,0.052230884,1.456666667,0.036317652,196.9666667,16.41346753,11.885,15.69983733
55,10/18/19,291,Summer,TG1_SOR_1,Sorghum,TG,TG1,1,Dry,6/17/19,NA,33.89834,-101.6113,0.9,NA,21.423,52.15566667,11.20733333,24.5,72,45.259,22.83666667,52.30433333,129.093,61.36666667,0.594333333,0.194,0.211666667,33.4724757,14.2602541,0.070456085,0.8,0.208283674,243.7666667,20.75391548,10.82833333,29.90058642
56,10/18/19,291,Summer,TG1_SOR_2,Sorghum,TG,TG1,2,Dry,6/17/19,NA,33.89834,-101.6113,0.9,NA,21.63133333,51.703,11.28333333,25.3,71,40.30166667,25.67,50.75633333,151.613,53.84333333,0.574666667,0.183333333,0.242333333,38.9001696,16.06485119,0.062652142,0.236666667,0.279598925,266.8666667,19.13157598,11.41166667,29.89804707
57,10/18/19,291,Summer,TG1_SOR_3,Sorghum,TG,TG1,3,Dry,6/17/19,NA,33.89834,-101.6113,0.9,NA,22.62033333,50.40066667,11.808,18.6,82,38.236,26.96666667,39.19866667,145.1826667,55.46666667,0.599333333,0.202333333,0.198333333,39.0255618,16.21472976,0.063283342,0.756666667,0.198259117,219.0333333,17.55779374,11.995,28.51623222
58,1/22/20,22,Winter,USDA3_TRI_1,Triticale,USDA,USDA3,1,Dry,10/2/19,112,39.59472,-101.9024,1,1.136,15.27566667,51.58666667,5.375,16,6,52.93466667,15.56666667,10.57266667,1106.337667,38.62333333,0.381666667,0.291,0.327333333,158.7859128,14.76442293,0.067820839,0.853333333,0.082503067,197.7,17.74729473,11.19833333,4.333734633
59,1/22/20,22,Winter,USDA3_TRI_2,Triticale,USDA,USDA3,1,Dry,10/2/19,112,39.59472,-101.9024,1,1.136,16.111,50.23566667,5.765333333,12.5,6,50.50433333,17.47,15.95033333,1503.851667,13.24,0.256333333,0.351333333,0.392333333,173.3153714,15.26073603,0.065560231,1.35,0.052054601,261.0333333,19.98041241,11.74833333,5.69501518
60,1/22/20,22,Winter,USDA3_TRI_3,Triticale,USDA,USDA3,1,Dry,10/2/19,112,39.59472,-101.9024,1,1.136,16.592,49.60166667,6.017666667,14.6,7,46.96833333,18.33,20.98133333,1502.62,70.75666667,0.323333333,0.243333333,0.433,214.3940436,15.40614352,0.065219777,1.38,0.04837422,136.5,20.21855088,12.28166667,5.69501518
61,1/23/20,23,Winter,BH1_WHE_1,Wheat,BH,BH1,1,Dry,10/16/19,99,33.46556,-101.79684,0.8,0.987,9.724666667,49.847,-0.24,19.7,14,42.802,12.19,40.65166667,1276.963333,34.16666667,0.279,0.251333333,0.47,156.9513807,14.38388751,0.069856864,1.516666667,0.049647403,148.3666667,21.78053455,11.07166667,9.721699921
62,1/23/20,23,Winter,BH1_WHE_2,Wheat,BH,BH1,2,Dry,10/16/19,99,33.46558,-101.79684,0.8,0.987,10.27566667,47.45966667,-0.399666667,20.7,23,37.91066667,14.83,38.39666667,919.3683333,34.02,0.313,0.276,0.411,127.076392,13.07447193,0.076486419,0.93,0.095225973,95.6,21.26547483,11.605,5.009202547
63,1/23/20,23,Winter,BH1_WHE_3,Wheat,BH,BH1,3,Dry,10/16/19,99,33.46561,-101.79684,0.8,0.987,11.19666667,44.97066667,-0.297666667,22.3,23,31.36366667,17.99666667,56.547,655.3593333,67.49,0.405666667,0.250666667,0.343333333,116.5981143,13.95238462,0.071922048,0.906666667,0.080552967,176.0666667,22.01427573,12.155,4.328303665
64,1/23/20,23,Winter,BH3_TRI_1,Triticale,BH,BH3,1,Dry,10/16/19,99,33.46541,-101.79643,0.8,1.502,12.888,41.23033333,0.036666667,17.2,14,32.554,20.73,21.02666667,769.9266667,24.90333333,0.296666667,0.205333333,0.498,94.90507605,24.84642034,0.040406134,0.53,0.077718615,81.66666667,22.43470361,12.73833333,13.70370182
65,1/23/20,23,Winter,BH3_TRI_2,Triticale,BH,BH3,2,Dry,10/16/19,99,33.46539,-101.79637,0.8,1.502,14.043,38.57833333,0.159,18.4,17,37.07,16.67,38.808,468.5323333,13.27333333,0.380333333,0.303666667,0.315666667,70.02609945,25.71757764,0.039120944,1.236666667,0.034550028,109.0333333,20.27048074,13.38833333,9.719606335
66,1/23/20,23,Winter,BH3_TRI_3,Triticale,BH,BH3,3,Dry,10/16/19,99,33.46542,-101.79632,0.8,1.502,13.60033333,36.82233333,-0.871333333,18.7,18,32.15033333,21.32333333,57.59266667,817.854,27.52666667,0.356,0.242333333,0.402,120.5215632,27.85373725,0.036528962,0.42,0.11356932,112.0333333,21.58071619,13.955,9.721248496
67,1/24/20,24,Winter,JS1_RYE_1,Rye,JS,JS1,1,Dry,10/16/19,100,33.17346,-101.92104,1,0.047,12.285,43.37633333,0.179666667,18.4,8,36.41033333,14.58333333,31.358,1387.750333,9.603333333,0.266333333,0.309,0.424,146.1839789,15.48412072,0.06463853,0.663333333,0.098174713,275.2666667,18.6126635,10.96166667,13.70952753
68,1/24/20,24,Winter,JS1_RYE_2,Rye,JS,JS1,2,Dry,10/16/19,100,33.17337,-101.92103,1,0.047,13.00766667,41.041,0.082,23.1,5,30.67366667,16.93,44.92733333,1123.282667,22.2,0.368,0.23,0.402,127.8505784,17.82544395,0.056185993,0.773333333,0.073392294,231.4,18.68339342,11.495,14.37243534
69,1/24/20,24,Winter,JS1_RYE_3,Rye,JS,JS1,3,Dry,10/16/19,100,33.1732,-101.92104,1,0.047,14.38,37.28533333,-0.005333333,23.1,6,32.64833333,17.59,34.34166667,970.5763333,21.19666667,0.385333333,0.218333333,0.396333333,124.4341992,19.97262645,0.050129613,0.55,0.105343774,195.7333333,18.0427715,12.07833333,16.35963092
70,1/24/20,24,Winter,JS2_RYE_1,Rye,JS,JS2,1,Dry,10/16/19,100,33.18439,-101.97822,1,0.063,17.50933333,33.16366667,1.138666667,14.5,8,31.62266667,17.83,30.23333333,1737.648667,15.59,0.242,0.195,0.563333333,189.0228943,14.66750091,0.068466098,0.55,0.124851046,158.6333333,21.31071819,12.83166667,15.03436872
71,1/24/20,24,Winter,JS2_RYE_2,Rye,JS,JS2,2,Dry,10/16/19,100,33.18438,-101.97826,1,0.063,16.47733333,36.228,1.458,15.4,6,26.99733333,21.18666667,23.883,1158.443,30.93,0.260666667,0.168666667,0.570333333,131.889546,13.92559273,0.071825247,0.613333333,0.117527214,141.9,21.18498772,13.38166667,17.02491293
72,1/24/20,24,Winter,JS2_RYE_3,Rye,JS,JS2,3,Dry,10/16/19,100,33.18437,-101.97829,1,0.063,16.80166667,37.527,2.242333333,15.5,3,27.88433333,20.59,18.45766667,643.951,21.43666667,0.450333333,0.261,0.288666667,107.1375443,14.85310566,0.068106335,0.77,0.090465735,153.6666667,20.61185623,13.93166667,21.03010423
73,1/27/20,27,Winter,USDA3_RYE_1,Rye,USDA,USDA3,1,Dry,10/2/19,117,33.59506,-101.90289,1,1.13,21.96766667,27.41066667,2.332333333,10,13,25.19766667,23.76333333,45.43866667,1099.442667,27.39666667,0.351,0.165,0.484,154.7614332,19.60505661,0.051172611,0.79,0.075110837,92.7,22.05024176,13.38833333,10.38813821
74,1/27/20,27,Winter,USDA3_RYE_2,Rye,USDA,USDA3,2,Dry,10/2/19,117,33.59499,-101.90294,1,1.13,20.67733333,30.19766667,2.587666667,10.9,9,22.819,26.55666667,48.32633333,137.7646667,52.95333333,0.574666667,0.252666667,0.172333333,35.0693793,19.77760723,0.050647925,0.833333333,0.062690082,57,22.09926933,12.82166667,11.71648287
